y,ds
59.080002,2016-11-14
59.119999,2016-11-11
60.490002,2016-11-10
60.59,2016-11-09
60.779999,2016-11-08
60.52,2016-11-07
59.279999,2016-11-04
59.639999,2016-11-03
59.93,2016-11-02
60.02,2016-11-01
60.419998,2016-10-31
60.52,2016-10-28
60.830002,2016-10-27
61.200001,2016-10-26
61.369999,2016-10-25
61,2016-10-24
60.450001,2016-10-21
57.52,2016-10-20
57.84,2016-10-19
57.950001,2016-10-18
57.459999,2016-10-17
57.740002,2016-10-14
57.299999,2016-10-13
57.27,2016-10-12
58.02,2016-10-11
58.389999,2016-10-10
57.98,2016-10-07
57.860001,2016-10-06
57.959999,2016-10-05
57.599998,2016-10-04
57.549999,2016-10-03
57.77,2016-09-30
58.169998,2016-09-29
58.060001,2016-09-28
58.060001,2016-09-27
57.139999,2016-09-26
57.91,2016-09-23
58,2016-09-22
57.849998,2016-09-21
57.349998,2016-09-20
57.75,2016-09-19
57.630001,2016-09-16
57.349998,2016-09-15
56.630001,2016-09-14
56.650002,2016-09-13
57.209999,2016-09-12
57.52,2016-09-09
57.790001,2016-09-08
57.84,2016-09-07
57.799999,2016-09-06
58.189999,2016-09-02
57.82,2016-09-01
57.799999,2016-08-31
58.189999,2016-08-30
58.599998,2016-08-29
58.700001,2016-08-26
58.290001,2016-08-25
58.040001,2016-08-24
58.18,2016-08-23
57.75,2016-08-22
57.73,2016-08-19
57.700001,2016-08-18
57.68,2016-08-17
57.619999,2016-08-16
58.5,2016-08-15
58.189999,2016-08-12
58.450001,2016-08-11
58.32,2016-08-10
58.5,2016-08-09
58.09,2016-08-08
58.209999,2016-08-05
57.52,2016-08-04
57.110001,2016-08-03
56.900002,2016-08-02
56.75,2016-08-01
56.759998,2016-07-29
56.369999,2016-07-28
56.799999,2016-07-27
57.290001,2016-07-26
56.740002,2016-07-25
56.630001,2016-07-22
56.23,2016-07-21
56.84,2016-07-20
53.900002,2016-07-19
54.34,2016-07-18
54,2016-07-15
53.990002,2016-07-14
53.860001,2016-07-13
53.400002,2016-07-12
52.830002,2016-07-11
52.360001,2016-07-08
51.610001,2016-07-07
51.540001,2016-07-06
51.279999,2016-07-05
51.720001,2016-07-01
51.299999,2016-06-30
50.720001,2016-06-29
49.470001,2016-06-28
49.150002,2016-06-27
50.939999,2016-06-24
52.060001,2016-06-23
51.459999,2016-06-22
51.43,2016-06-21
50.830002,2016-06-20
50.43,2016-06-17
50.470001,2016-06-16
50.119999,2016-06-15
50.099998,2016-06-14
50.720001,2016-06-13
52.049999,2016-06-10
52,2016-06-09
52.439999,2016-06-08
52.73,2016-06-07
